AirlineKey;AirlineId;Code;Description
1312;1312;TER;Terre Haute Air Commuter
1313;1313;TFQ;Trans International Airlines Inc.
1314;1314;TFZ;Tri-State Airlines Inc.
1315;1315;TG;Thai Airways International Ltd.
1316;1316;TGO;Trans Air Cargo Inc.
1317;1317;TGQ;Tranps Aereos Guatemaltecos
1318;1318;TH;Transmile Air Service
1319;1319;THA;Tropical Helicopter Airways
1320;1320;THO;Thorson Aviation
1321;1321;THQ;T-Bird Air Inc.
1322;1322;TIA;Trans Air Inc.
1323;1323;TIE;Trans International Express
1324;1324;TIQ;Tyrolean Jet Service
1325;1325;TIS;Skyfreight
1326;1326;TJ;Jet Charter Service Inc.
1327;1327;TK;Turk Hava Yollari A.O.
1328;1328;TKQ;Trans-Air-Link Corporation
1329;1329;TLQ;Trans-Mediterranean Airways
1330;1330;TMA;Trans Mo Airlines
1331;1331;TN;Air Tahiti Nui
1332;1332;TNQ;Emery Worldwide Airlines
1333;1333;TNS;Transtate Aviation
1334;1334;TP;Tap-Portuguese Airlines
1335;1335;TPQ;Aerial Transit Company
1336;1336;TQQ;Taca Peru
1337;1337;TR;Transbrasil S.A.
1338;1338;TRA;Aeromexico Travel
1339;1339;TRI;Great Plains Airlines Inc.
1340;1340;TRO;Air Molakai
1341;1341;TRP;Trans Pennsylvania Airlines
1342;1342;TRQ;Blue Scandinavia Ab
1343;1343;TRR;Territorial Airlines
1344;1344;TS;Air Transat
1345;1345;TSF;American Central Airlines
1346;1346;TSI;Trans Sierra Airlines Inc.
1347;1347;TSQ;TPI International Airways
1348;1348;TTM;The Time Machine
1349;1349;TUL;Tulsair Beechcraft Inc.
1350;1350;TUR;Turner Aire
1351;1351;TV;Haiti Trans Air
1352;1352;TV (1);Transamerica Airlines Inc.
1353;1353;TVL;Travelair
1354;1354;TW;Trans World Airways LLC
1355;1355;TWA;Trans Western Airlines Utah
1356;1356;TWE;Trans World Express
1357;1357;TX;Soc.Nouvelle Air Guadeloupe
1358;1358;TX (1);Transportes Aereos Nacional
1359;1359;TXA;Texas National Airlines
1360;1360;TXE;Trans Air (Hawaii)
1361;1361;TXQ;British Caribbean Airways
1362;1362;TXY;Texas Airways
1363;1363;TYE;Temsco Airlines
1364;1364;TZ;ATA Airlines d/b/a ATA
1365;1365;TZQ;First Choice Airways
1366;1366;U2;UFS Inc.
1367;1367;U5;USA 3000 Airlines
1368;1368;U7;USA Jet Airlines Inc.
1369;1369;UA;United Air Lines Inc.
1370;1370;UAI;Universal Airways Inc.
1371;1371;UC;Ladeco
1372;1372;UD;Fast Air Carrier Ltd.
1373;1373;UH;US Helicopter Corporation
1374;1374;UMQ;Air Manila Inc.
1375;1375;UN;Transaero Airlines
1376;1376;UNQ;Overseas National Airways
1377;1377;UP;Bahamasair Holding Limited
1378;1378;UR;Empire Airlines Inc. (1)
1379;1379;URQ;Aero Uruguay
1380;1380;US;US Airways Inc.
1381;1381;USA;Air U.S.
1382;1382;UT;Union De Transports Aeriens
1383;1383;UTQ;Universal Airlines Inc.
1384;1384;UX;Air Europa
1385;1385;UX (1);Air Illinois Inc.
1386;1386;UYQ;Aerolineas Uruguayas S.A.
1387;1387;V4;Vensecar International
1388;1388;V5;J.D.Valenciana De Aviation
1389;1389;V8;Iliamna Air Taxi
1390;1390;V9;Eagle Airlines
