DestinationKey;DestinationAirpotId;Destination;DestinationCityName;DestinationState
283;283;30581;BGR;Bangor
284;284;31641;FAY;Fayetteville
285;285;32397;ITH;Ithaca/Cortland
286;286;30577;BGM;Binghamton
287;287;33933;ORH;Worcester
288;288;34945;STT;Charlotte Amalie
289;289;34992;STX;Christiansted
290;290;31252;DAB;Daytona Beach
291;291;30647;CAK;Akron
292;292;33139;LYH;Lynchburg
293;293;33667;PHF;Newport News/Williamsburg
294;294;30361;ART;Watertown
295;295;34704;SBY;Salisbury
296;296;31699;FLO;Florence
297;297;34092;PGV;Greenville
298;298;35249;TLH;Tallahassee
299;299;32223;HTS;Ashland
300;300;30113;BET;Bethel
301;301;30107;BRW;Barrow
302;302;30073;SCC;Deadhorse
303;303;31401;KTN;Ketchikan
304;304;32523;JNU;Juneau
305;305;30913;CDV;Cordova
306;306;35991;YAK;Yakutat
307;307;34828;SIT;Sitka
308;308;35841;WRG;Wrangell
309;309;34256;PSG;Petersburg
310;310;30070;ADQ;Kodiak
311;311;33873;OME;Nome
312;312;33970;OTZ;Kotzebue
313;313;30165;ADK;Adak Island
314;314;30732;BQN;Aguadilla
315;315;34254;PSE;Ponce
316;316;33360;MLB;Melbourne
317;317;35356;TTN;Trenton
318;318;31703;SWF;Newburgh/Poughkeepsie
319;319;32320;ILG;Wilmington
320;320;33195;PIE;St. Petersburg
321;321;31066;LCK;Columbus
322;322;30466;AZA;Phoenix
323;323;34082;PGD;Punta Gorda
324;324;32265;IAG;Niagara Falls
325;325;34761;SFB;Sanford
326;326;34716;SCK;Stockton
327;327;32544;USA;Concord
328;328;34952;SPI;Springfield
329;329;30676;BLV;Belleville
330;330;34259;PSM;Portsmouth
331;331;34905;SMX;Santa Maria
332;332;34314;PVU;Provo
333;333;34108;PIA;Peoria
334;334;34512;RFD;Rockford
335;335;31980;GRI;Grand Island
336;336;32119;HGR;Hagerstown
337;337;32131;OGD;Ogden
338;338;32556;STC;St. Cloud
339;339;35165;TOL;Toledo
340;340;33983;OWB;Owensboro
341;341;34222;PPG;Pago Pago
342;342;30158;ACY;Atlantic City
343;343;32898;LBE;Latrobe
344;344;31577;ERI;Erie
345;345;31617;EWN;New Bern/Morehead/Beaufort
346;346;32124;HHH;Hilton Head
347;347;35411;TYR;Tyler
348;348;31905;GGG;Longview
349;349;31982;GRK;Killeen
350;350;35074;SWO;Stillwater
351;351;30155;ACT;Waco
352;352;30136;ABI;Abilene
353;353;32891;LAW;Lawton/Fort Sill
354;354;31335;DRT;Del Rio
355;355;31867;GCK;Garden City
356;356;31274;DBQ;Dubuque
357;357;31067;CMI;Champaign/Urbana
358;358;34842;SJT;San Angelo
359;359;34960;SPS;Wichita Falls
360;360;35401;TXK;Texarkana
361;361;30268;ALO;Waterloo
362;362;30728;BPT;Beaumont/Port Arthur
363;363;32016;GUM;Guam
364;364;34955;SPN;Saipan
365;365;33029;LNK;Lincoln
366;366;34231;PQI;Presque Isle/Houlton
367;367;31315;DIK;Dickinson
